rank,Worst_score5,Worst_winrate5,Worst_score10,Worst_winrate10
-14,-11.4822636,-0.172078728,-8.5267945,-0.082570304
-13,-10.6589891,-0.1582870965,-7.857950185,-0.0778169439
-12,-10.5771322,-0.174398214,-7.8005486,-0.09109725
-11,-10.1769334,-0.16070602143,-7.47808265,-0.0844225605
-10,-10.41080215,-0.1833375838,-7.61660677,-0.0998797605
-9,-9.1569471,-0.148153841,-6.5611763,-0.07619565
-8,-9.0847588,-0.167766914,-6.5069075,-0.090835653
-7,-9.03801132,-0.16904654,-6.3973414,-0.095653557
-6,-8.9502411,-0.175300829,-6.3906145,-0.100264118
-5,-8.8277912,-0.173705049,-6.21104711,-0.099979009765
-4,-8.7393036,-0.175579492,-6.1617851,-0.10227327
-3,-8.46542405,-0.17313002,-5.924356,-0.1033158435
-2,-8.71603115,-0.1864192855,-6.204435475,-0.112491048
-1,-8.53233135,-0.18031928,-6.00149342,-0.109592449
0,-8.2923274,-0.1805580595,-5.7628280725,-0.109679345
1,-7.89143563,-0.176717394,-5.50357282,-0.1098175085
2,-7.45165575,-0.1799250909,-5.1748681755,-0.1145616635
3,-6.90591005,-0.1670070815,-4.7292776,-0.105234559
4,-6.49308467,-0.166029493,-4.449631037,-0.107739463
5,-6.0391506485,-0.1618404215,-4.0929200935,-0.1053867855
6,-5.7298565,-0.154925983,-3.8782387,-0.101133399
7,-5.347924706,-0.14469479,-3.6196747,-0.093556077
8,-4.7673360975,-0.1345308285,-3.2500479,-0.0876054761
9,-3.87555455,-0.1186734606,-2.63668787,-0.076980252
