rank,Worst_score5,Worst_winrate5,Worst_score10,Worst_winrate10
-15,-10.135902399999992,-0.11541266700000002,-7.643621400000001,-0.0489267408
-14,-11.482263599999996,-0.17207872799999996,-8.526794500000001,-0.08257030399999998
-13,-10.658989099999998,-0.15828709649999997,-7.857950185,-0.07781694389999999
-12,-10.5771322,-0.174398214,-7.800548599999999,-0.09109725000000002
-11,-10.1769334,-0.16070602142999998,-7.4780826499999975,-0.08442256049999998
-10,-10.410802149999999,-0.1833375838,-7.616606770000001,-0.09987976050000003
-9,-9.1569471,-0.148153841,-6.561176300000003,-0.07619564999999999
-8,-9.084758800000003,-0.16776691400000002,-6.5069075000000005,-0.09083565300000007
-7,-9.038011319999999,-0.16904653999999997,-6.397341400000002,-0.095653557
-6,-8.9502411,-0.175300829,-6.390614500000002,-0.10026411800000001
-5,-8.8277912,-0.173705049,-6.211047109999998,-0.09997900976499999
-4,-8.7393036,-0.175579492,-6.161785099999996,-0.10227326999999997
-3,-8.46542405,-0.17313002000000005,-5.924356000000001,-0.1033158435
-2,-8.71603115,-0.18641928549999998,-6.2044354749999995,-0.11249104800000001
-1,-8.53233135,-0.18031928,-6.00149342,-0.10959244899999998
0,-8.2923274,-0.18055805949999998,-5.7628280725,-0.10967934500000001
1,-7.891435630000001,-0.176717394,-5.50357282,-0.1098175085
2,-7.4516557500000005,-0.17992509090000003,-5.1748681755,-0.1145616635
3,-6.905910049999999,-0.16700708150000004,-4.7292776,-0.105234559
4,-6.49308467,-0.16602949299999992,-4.4496310370000005,-0.10773946300000001
5,-6.0391506485,-0.16184042149999997,-4.0929200935,-0.10538678550000002
6,-5.7298565,-0.15492598300000004,-3.8782387000000007,-0.10113339900000001
7,-5.347924706000001,-0.14469479000000007,-3.619674699999999,-0.09355607700000002
8,-4.767336097499999,-0.13453082850000003,-3.2500479,-0.0876054761
9,-3.8755545500000004,-0.11867346059999996,-2.6366878700000007,-0.07698025200000001
